Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2024,4598.95,4689.55,4587.30,4596.05,4639.800290486564996368,30294,3959,140558110.00,8672,28.63,102.25,-2.90
29-April-2024,4596.80,4603.85,4535.00,4579.20,4565.862586605080831408,3464,781,15816148.00,1100,31.76,68.85,-17.60
26-April-2024,4597.50,4632.75,4575.30,4597.55,4601.001689046533231990,11841,2073,54480461.00,4695,39.65,57.45,0.05
25-April-2024,4555.55,4628.15,4486.95,4615.70,4549.668035943517329910,11685,2260,53162871.00,2797,23.94,141.20,60.15
24-April-2024,4553.95,4571.40,4517.45,4528.90,4546.705510669152682825,9654,1670,43893895.00,2232,23.12,53.95,-25.05
23-April-2024,4479.40,4534.15,4445.05,4518.80,4498.318901206163285226,14343,2746,64519388.00,7557,52.69,89.10,39.40
22-April-2024,4380.30,4483.80,4375.00,4468.30,4449.735154576063666972,13068,2654,58149139.00,3079,23.56,108.80,88.00
19-April-2024,4340.45,4367.95,4262.85,4340.80,4309.405636934344755427,15292,2955,65899431.00,7094,46.39,105.10,0.35
18-April-2024,4364.30,4440.90,4339.05,4352.55,4390.425801612600787549,26665,4742,117070704.00,8169,30.64,101.85,-11.75
16-April-2024,4201.35,4406.00,4201.35,4359.95,4339.982518047624178429,37124,4035,161117511.00,13454,36.24,204.65,158.60
15-April-2024,4220.65,4315.00,4190.70,4214.85,4264.318707271597265382,24135,3848,102919332.00,11126,46.10,124.30,-5.80
12-April-2024,4295.50,4381.00,4272.80,4304.90,4328.233003877027248402,36626,4618,158525862.00,12866,35.13,108.20,9.40
10-April-2024,4268.95,4332.40,4223.80,4318.95,4281.260235332043842682,24816,2656,106243754.00,9755,39.31,108.60,50.00
9-April-2024,4244.25,4266.00,4140.00,4247.70,4191.241884780381054935,57577,8503,241319134.00,31846,55.31,126.00,3.45
8-April-2024,4020.05,4303.30,4011.20,4210.30,4203.301083646150577236,56476,6643,237385632.00,11203,19.84,292.10,190.25
5-April-2024,4014.30,4045.00,3970.00,4030.90,4021.881079027355623100,7896,1368,31756773.00,1822,23.07,75.00,16.60
4-April-2024,3951.65,4029.80,3893.20,4011.55,3980.468807451893614413,24477,4827,97429935.00,14239,58.17,136.60,59.90
3-April-2024,3926.10,3943.05,3888.50,3934.35,3917.799233182293482049,5738,934,22480332.00,1756,30.60,54.55,8.25
2-April-2024,3990.00,3990.00,3915.00,3921.05,3930.271511279696546216,10018,1813,39373460.00,4604,45.96,75.00,-68.95
1-April-2024,4035.65,4069.90,3937.05,3947.65,3986.391627244519049799,19659,3487,78368473.00,7424,37.76,132.85,-88.00
28-March-2024,3916.00,4074.95,3891.25,4019.45,4017.645538225517770391,39110,6320,157130117.00,23397,59.82,183.70,103.45
27-March-2024,3935.00,3985.30,3904.05,3914.45,3953.762627758850540660,13502,2354,53383703.00,5067,37.53,81.25,-20.55
