Company Name,Bse,Industry,Symbol,Market Cap
ABB India Ltd,500002,Electric Equipment,ABB,Large
Adani Energy Solutions Ltd,539254,Power Generation And Supply,ADANIENSOL,Large
Adani Enterprises Ltd,512599,Trading,ADANIENT,Large
Adani Green Energy Ltd,541450,Power Generation And Supply,ADANIGREEN,Large
Adani Ports and Special Economic Zone Ltd.,532921,Marine Port & Services,ADANIPORTS,Large
Adani Total Gas Ltd,542066,Gas Distribution,ATGL,Large
Adani Wilmar Ltd,543458,Solvent Extraction,AWL,Large
Ambuja Cements Ltd,500425,Cement & Cement Products,AMBUJACEM,Large
Apollo Hospitals Enterprise Ltd,508869,Healthcare,APOLLOHOSP,Large
Asian Paints Ltd.,500820,Paints / Varnishes,ASIANPAINT,Large
Avenue Supermarts Ltd,540376,FMCG - Retail,DMART,Large
Axis Bank Ltd.,532215,Banks - Private Sector,AXISBANK,Large
Bajaj Auto Ltd.,532977,Automobiles - Scooters And 3 - Wheelers,BAJAJ-AUTO,Large
Bajaj Finance Ltd.,500034,Finance & Investments,BAJFINANCE,Large
Bajaj Finserv Ltd.,532978,Finance & Investments,BAJAJFINSV,Large
Bajaj Holdings & Investment Ltd,500490,Finance & Investments,BAJAJHLDNG,Large
Bandhan Bank Ltd,541153,Banks - Private Sector,BANDHANBNK,Large
Bank of Baroda,532134,Banks - Public Sector,BANKBARODA,Large
Berger Paints India Ltd,509480,Paints / Varnishes,BERGEPAINT,Large
Bharat Electronics Ltd,500049,Aerospace & Defence,BEL,Large
Bharat Petroleum Corporation Ltd.,500547,Refineries,BPCL,Large
Bharti Airtel Ltd.,532454,Telecommunications - Service Provider,BHARTIARTL,Large
Bosch Ltd,500530,Auto Ancillaries,BOSCHLTD,Large
Britannia Industries Ltd.,500825,FMCG - Food Processing,BRITANNIA,Large
Cholamandalam Investment & Finance Company Ltd,511243,Finance & Investments,CHOLAFIN,Large
Cipla Ltd.,500087,Pharmaceuticals - Bulk Drugs & Formln,CIPLA,Large
Coal India Ltd.,533278,Mining & Mineral products,COALINDIA,Large
Dabur India Ltd,500096,FMCG- Personal Care,DABUR,Large
Divi's Laboratories Ltd,532488,Pharmaceuticals - Bulk Drugs,DIVISLAB,Large
DLF Ltd,532868,Construction,DLF,Large
Dr. Reddy's Laboratories Ltd.,500124,Pharmaceuticals - Bulk Drugs & Formln,DRREDDY,Large
Eicher Motors Ltd.,505200,Automobiles - Motorcycles / Mopeds,EICHERMOT,Large
GAIL (India) Ltd.,532155,Gas Distribution,GAIL,Large
Godrej Consumer Products Ltd,532424,FMCG- Personal Care,GODREJCP,Large
Grasim Industries Ltd.,500300,Textiles - Manmade,GRASIM,Large
Havells India Ltd,517354,Electric Equipment,HAVELLS,Large
HCL Technologies Ltd.,532281,Computers - Software,HCLTECH,Large
HDFC Asset Management Company Ltd,541729,Finance & Investments,HDFCAMC,Large
HDFC Bank Ltd.,500180,Banks - Private Sector,HDFCBANK,Large
Hero MotoCorp Ltd.,500182,Automobiles - Motorcycles / Mopeds,HEROMOTOCO,Large
Hindalco Industries Ltd.,500440,Aluminium and Aluminium Products,HINDALCO,Large
Hindustan Aeronautics Ltd,541154,Aerospace & Defence,HAL,Large
Hindustan Unilever Ltd.,500696,FMCG - Personal Care,HINDUNILVR,Large
ICICI Bank Ltd.,532174,Banks - Private Sector,ICICIBANK,Large
ICICI Lombard General Insurance Company Ltd,540716,Finance & Investments,ICICIGI,Large
ICICI Prudential Life Insurance Company Ltd,540133,Finance & Investments,ICICIPRULI,Large
Indian Oil Corporation Ltd.,530965,Refineries,IOC,Large
Indus Towers Ltd,534816,Telecomm Equipment & Infra Services,INDUSTOWER,Large
IndusInd Bank Ltd.,532187,Banks - Private Sector,INDUSINDBK,Large
Info Edge (India) Ltd,532777,E-Commerce/App based Aggregator,NAUKRI,Large
Infosys Ltd.,500209,Computers - Software,INFY,Large
Interglobe Aviation Ltd,539448,Transport - Airlines,INDIGO,Large
ITC Ltd.,500875,Tobacco Products,ITC,Large
JSW Steel Ltd.,500228,Steel,JSWSTEEL,Large
Kotak Mahindra Bank Ltd.,500247,Banks - Private Sector,KOTAKBANK,Large
Larsen & Toubro Ltd.,500510,Infrastructure Developers & Operators,LT,Large
LTIMindtree Ltd,540005,Computers - Software,LTIM,Large
Mahindra & Mahindra Ltd.,500520,Automobiles - Passenger Cars,M&M,Large
Marico Ltd,531642,Solvent Extraction,MARICO,Large
Maruti Suzuki India Ltd.,532500,Automobiles - Passenger Cars,MARUTI,Large
Nestle India Ltd.,500790,FMCG - Food Processing ,NESTLEIND,Large
NTPC Ltd.,532555,Power Generation And Supply,NTPC,Large
Oil & Natural Gas Corporation Ltd.,500312,Oil Drilling / Allied Services,ONGC,Large
Pidilite Industries Ltd,500331,Chemicals,PIDILITIND,Large
PNB Housing Finance Ltd,540173,Finance - Housing,PNB,Large
Power Grid Corporation of India Ltd.,532898,Power Generation And Supply,POWERGRID,Large
Reliance Industries Ltd.,500325,Refineries,RELIANCE,Large
SBI Cards & Payment Services Ltd,543066,Finance & Investments,SBICARD,Large
SBI Life Insurance Company Ltd,540719,Finance & Investments,SBILIFE,Large
Shree Cement Ltd.,500387,Cement & Cement Products,SHREECEM,Large
Siemens Ltd,500550,Electric Equipment,SIEMENS,Large
SRF Ltd,503806,Chemicals,SRF,Large
State Bank of India,500112,Banks - Public Sector,SBIN,Large
Sun Pharmaceutical Industries Ltd.,524715,Pharmaceuticals - Bulk Drugs & Formln,SUNPHARMA,Large
Tata Consultancy Services Ltd.,532540,Computers - Software,TCS,Large
Tata Consumer Products Ltd,500800,Tea,TATACONSUM,Large
Tata Motors Ltd.,500570,Automobiles - LCVs / HCVs,TATAMOTORS,Large
Tata Motors-DVR,570001,Automobiles - LCVs / HCVs,TATAMTRDVR,Large
Tata Power Company Ltd,500400,Power Generation And Supply,TATAPOWER,Large
Tata Steel Ltd.,500470,Steel,TATASTEEL,Large
Tech Mahindra Ltd.,532755,Computers - Software,TECHM,Large
Titan Company Ltd.,500114,Diamond Cutting / Jewellery,TITAN,Large
UltraTech Cement Ltd.,532538,Cement & Cement Products,ULTRACEMCO,Large
United Spirits Ltd,532432,Breweries & Distilleries,MCDOWELL-N,Large
UPL Ltd.,512070,Pesticides / Agrochemicals,UPL,Large
Varun Beverages Ltd,540180,FMCG - Food Processing ,VBL,Large
Vedanta Ltd.,500295,Mining & Mineral products,VEDL,Large
Wipro Ltd.,507685,Computers - Software,WIPRO,Large
Zee Entertainment Enterprises Ltd.,505537,Entertainment / Electronic Media Software,ZEEL,Large
Zydus Lifesciences Ltd,532321,Pharmaceuticals - Bulk Drugs & Formln,ZYDUSLIFE,Large
