Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2024,189.35,190.15,184.80,185.30,186.970008574463456148,468834,4102,87657897.00,116831,24.92,5.35,-4.05
29-April-2024,190.45,193.00,187.90,188.40,190.056120174413516532,971255,9002,184592957.00,379261,39.05,5.10,-2.05
26-April-2024,190.20,192.05,187.10,188.90,189.443063963236051005,1418346,9358,268695812.00,402796,28.40,4.95,-1.30
25-April-2024,188.25,189.85,185.75,188.25,187.541299894357621118,669239,5377,125509952.00,119990,17.93,4.10,0.00
24-April-2024,183.15,190.05,182.50,187.90,187.100370924266798819,795041,6749,148752466.00,230843,29.04,7.55,4.75
23-April-2024,187.40,187.65,182.10,183.10,184.028895941205946216,688505,4958,126704815.00,288660,41.93,5.55,-4.30
22-April-2024,188.05,191.40,184.75,185.30,187.827353212362771249,1196269,10847,224692040.00,297280,24.85,6.65,-2.75
19-April-2024,179.75,185.40,174.85,184.65,180.250960580301551883,1350746,14600,243473264.00,498073,36.87,10.55,4.90
18-April-2024,185.05,187.55,180.20,181.35,184.209712185578792395,652747,5407,120242337.00,164054,25.13,7.35,-3.70
16-April-2024,179.85,185.70,178.55,182.85,183.495858082406788390,1557129,12652,285726722.00,663107,42.59,7.15,3.00
15-April-2024,177.00,185.35,175.00,181.90,181.914124172053719149,5819973,38212,1058735291.00,2511733,43.16,10.35,4.90
12-April-2024,180.65,183.50,177.70,178.25,179.624557664299124168,1425388,14141,256034689.00,524982,36.83,5.80,-2.40
10-April-2024,185.10,188.70,181.80,182.70,185.493867536492510187,2090840,16479,387837998.00,675090,32.29,6.90,-2.40
9-April-2024,178.50,185.20,176.10,183.45,182.650149065896412811,2498224,19653,456300986.00,909892,36.42,9.10,4.95
8-April-2024,177.65,179.90,174.70,178.05,176.866978652294494870,1049621,6843,185643295.00,418833,39.90,5.20,0.40
5-April-2024,175.20,180.35,171.20,177.40,176.768240882700379520,915101,7667,161760794.00,163488,17.87,9.15,2.20
4-April-2024,178.05,180.25,174.40,175.30,177.089436249235413707,1191821,9470,211058909.00,246673,20.70,5.85,-2.75
3-April-2024,167.20,176.20,166.20,174.60,174.287215969946296273,8477624,26821,1477541485.00,6348551,74.89,10.00,7.40
2-April-2024,162.95,166.75,158.40,166.15,162.799955405754772016,1040493,8729,169392214.00,170997,16.43,8.35,3.20
