scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Quant Small Cap Fund,5,Equity,Small Cap Mutual Funds,5.4,71.4,23.2
Quant Tax Plan- Direct Growth,5,Equity,ELSS Mutual Funds,0.9,54.9,22.2
Quant Infrastructure Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.6,61.5,21.1
Canara Robeco Small Cap Fund,5,Equity,Small Cap Mutual Funds,-0.6,51.8,
PGIM India Midcap Opportunities Fund,5,Equity,Mid Cap Mutual Funds,2,42.9,19
Quant Mid Cap Fund,5,Equity,Mid Cap Mutual Funds,8.8,45.1,19.8
Quant Flexi Cap Fund,5,Equity,Flexi Cap Funds,6.8,47.7,18.2
AXIS Small Cap Fund,5,Equity,Small Cap Mutual Funds,3.4,34.5,19.4
Quant Multi Asset Fund,5,Hybrid,Multi Asset Allocation Mutual Funds,10.6,42.6,20.5
Quant Absolute Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,7.3,38.2,19.1
PGIM India Flexi Cap Fund,5,Equity,Flexi Cap Funds,-2.3,34,15.7
Quant Large and Mid Cap Fund,5,Equity,Large & Mid Cap Funds,6.9,33,14.2
Parag Parikh Flexi Cap Fund,5,Equity,Flexi Cap Funds,2.3,33.6,17.6
SBI Contra Fund,5,Equity,Contra Funds,15,43.4,15.6
Invesco India Infrastructure Fund,5,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6
Motilal Oswal Midcap Fund,5,Equity,Mid Cap Mutual Funds,14.6,34,16.4
AXIS Midcap Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8
Quant Focused Fund,5,Equity,Focused Funds,5.2,33.7,13.1
Mirae Asset Emerging Bluechip Fund,5,Equity,Large & Mid Cap Funds,-1.2,29.4,15.1
IIFL Focused Equity Fund,5,Equity,Focused Funds,4.7,29.2,18.1
Nippon India Consumption Fund,5,Equity,Sectoral / Thematic Mutual Funds,12.1,30.6,14.6
Mirae Asset Tax Saver Fund,5,Equity,ELSS Mutual Funds,0.6,30.3,15.3
HDFC Retirement Savings Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8
Canara Robeco Equity Tax Saver Fund,5,Equity,ELSS Mutual Funds,1.2,27.7,15.5
ICICI Pru Equity & Debt Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3
ICICI Pru Infrastructure Fund,5,Equity,Sectoral / Thematic Mutual Funds,24.3,44,15.1
ICICI Pru Retirement Fund,5,Solution Oriented,Retirement Funds,0.1,31.3,
SBI Large & Midcap Fund,5,Equity,Large & Mid Cap Funds,6.5,30.2,13.6
Canara Robeco Bluechip Equity Fund,5,Equity,Large Cap Mutual Funds,1.7,24.3,14.4
Baroda BNP Paribas Aggressive Hybrid Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3
HDFC Gold Fund,5,Other,FoFs Domestic,14.2,12.3,13.4
Kotak Bluechip Fund,5,Equity,Large Cap Mutual Funds,3.3,26.8,12.6
JM Large Cap Fund,5,Equity,Large Cap Mutual Funds,1.8,18.3,10.4
Mirae Asset Equity Savings Fund,5,Hybrid,Equity Savings Mutual Funds,3.7,16.1,
