Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2024,853.35,863.10,838.95,845.20,847.511076764554353426,1941,262,1645019.00,760,39.16,24.15,-8.15
29-April-2024,890.60,893.65,855.80,860.20,875.674018862184362640,13148,1330,11513362.00,6602,50.21,37.85,-30.40
26-April-2024,823.40,900.20,823.40,886.70,868.193988062273090886,32502,3337,28218041.00,19358,59.56,76.80,63.30
25-April-2024,818.50,825.00,814.05,823.40,818.608353033884948778,1269,216,1038814.00,491,38.69,10.95,4.90
24-April-2024,810.05,826.60,810.05,818.70,822.228346456692913385,1397,198,1148653.00,366,26.20,16.55,8.65
23-April-2024,816.25,826.85,805.90,810.60,815.531205874046879412,3541,397,2887796.00,1938,54.73,20.95,-5.65
22-April-2024,814.65,826.60,812.70,817.30,820.976725193956717027,2449,270,2010572.00,1463,59.74,13.90,2.65
19-April-2024,819.25,829.10,808.50,812.70,816.504742373750320430,3901,510,3185185.00,1132,29.02,20.60,-6.55
18-April-2024,832.05,841.00,816.40,827.05,830.236106194690265486,8475,935,7036251.00,4411,52.05,24.60,-5.00
16-April-2024,828.05,836.85,819.95,835.30,831.303287981859410430,1764,247,1466419.00,787,44.61,16.90,7.25
15-April-2024,831.00,842.35,813.90,828.10,828.322494744218640504,7135,466,5910081.00,1782,24.98,28.45,-2.90
12-April-2024,807.05,830.25,807.05,825.75,817.935727788279773156,3703,417,3028816.00,1941,52.42,23.20,18.70
10-April-2024,813.40,818.35,800.50,807.05,809.693317058285016783,3277,380,2653365.00,1531,46.72,17.85,-6.35
9-April-2024,837.45,837.45,802.00,811.25,816.072368421052631578,1216,231,992344.00,656,53.95,35.45,-26.20
8-April-2024,805.00,825.65,805.00,821.10,818.918493535694210230,3558,511,2913712.00,2703,75.97,20.65,16.10
5-April-2024,818.65,828.80,809.10,811.10,817.206824616301594397,6711,581,5484275.00,3081,45.91,19.70,-7.55
4-April-2024,821.85,821.85,804.55,810.15,809.703816793893129770,2620,299,2121424.00,1394,53.21,17.30,-11.70
3-April-2024,803.60,820.55,798.50,809.00,809.997107128097592334,718663,724,582114951.00,713350,99.26,22.05,5.40
2-April-2024,786.25,810.05,786.25,804.25,807.727514105542648523,3013,403,2433683.00,2222,73.75,23.80,18.00
1-April-2024,809.85,821.00,795.40,798.00,808.293371757925072046,5205,480,4207167.00,1657,31.83,25.60,-11.85
