Company Name,Bse,Industry,Symbol,Market Cap
Aarti Drugs Ltd,524348,Pharmaceuticals - Bulk Drugs & Formln,AARTIDRUGS,Small
Aegis Logistics Ltd,500003,Trading,AEGISCHEM,Small
Affle India Ltd,542752,Computers - Software,AFFLE,Small
Alkyl Amines Chemicals Ltd,506767,Chemicals,ALKYLAMINE,Small
Alok Industries Ltd,521070,Textiles - Processing,ALOKINDS,Small
Amber Enterprises India Ltd,540902,Electronics - Components,AMBER,Small
APL Apollo Tubes Ltd,533758,Steel,APLAPOLLO,Small
Avanti Feeds Ltd,512573,FMCG - Food Processing ,AVANTIFEED,Small
Bajaj Electricals Ltd,500031,Domestic Appliances,BAJAJELEC,Small
Balrampur Chini Mills Ltd,500038,Sugar,BALRAMCHIN,Small
BASF India Ltd,500042,Chemicals,BASF,Small
BEML Ltd,500048,Aerospace & Defence,BEML,Small
Bharat Dynamics Ltd,541143,Aerospace & Defence,BDL,Small
Birla Corporation Ltd,500335,Cement & Cement Products,BIRLACORPN,Small
Birlasoft Ltd,532400,Computers - Software,BSOFT,Small
Blue Dart Express Ltd,526612,Logistics,BLUEDART,Small
Blue Star Ltd,500067,Air-conditioners,BLUESTARCO,Small
Can Fin Homes Ltd,511196,Finance - Housing,CANFINHOME,Small
Caplin Point Laboratories Ltd,524742,Pharmaceuticals - Bulk Drugs & Formln,CAPLIPOINT,Small
Carborundum Universal Ltd,513375,Abrasives And Grinding Wheels,CARBORUNIV,Small
CEAT Ltd,500878,Tyres,CEATLTD,Small
Century Plyboards (India) Ltd,532548,Plywood Boards/Laminates,CENTURYPLY,Small
Century Textiles & Industries Ltd,500040,Paper,CENTURYTEX,Small
Chambal Fertilisers & Chemicals Ltd,500085,Fertilizers,CHAMBLFERT,Small
Cochin Shipyard Ltd,540678,Aerospace & Defence,COCHINSHIP,Small
Computer Age Management Services Ltd,543232,Finance & Investments,CAMS,Small
CSB Bank Ltd,542867,Banks - Private Sector,CSBBANK,Small
Cyient Ltd,532175,Computers - Software,CYIENT,Small
Delta Corp Ltd,532848,Recreation / Amusement Parks,DELTACORP,Small
Dilip Buildcon Ltd,540047,Construction,DBL,Small
Edelweiss Financial Services Ltd,532922,Finance & Investments,EDELWEISS,Small
EID Parry (India) Ltd,500125,Sugar,EIDPARRY,Small
Engineers India Ltd,532178,Infrastructure Developers & Operators,ENGINERSIN,Small
FDC Ltd,531599,Pharmaceuticals - Bulk Drugs & Formln,FDC,Small
Fine Organic Industries Ltd,541557,Chemicals,FINEORG,Small
Firstsource Solutions Ltd,532809,Computers - Software,FSL,Small
Future Retail Ltd,540064,FMCG - Retail,FRETAIL,Small
GMM Pfaudler Ltd,505255,Engineering,GMMPFAUDLR,Small
Godfrey Phillips India Ltd,500163,Tobacco Products,GODFRYPHLP,Small
Granules India Ltd,532482,Pharmaceuticals - Bulk Drugs & Formln,GRANULES,Small
Graphite India Ltd,509488,Electrodes - Graphites,GRAPHITE,Small
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,500670,Chemicals,GNFC,Small
Happiest Minds Technologies Ltd,543227,Computers - Software,HAPPSTMNDS,Small
HEG Ltd,509631,Electrodes - Graphites,HEG,Small
HeidelbergCement India Ltd,500292,Cement & Cement Products,HEIDELBERG,Small
Hindustan Copper Ltd,513599,Mining & Mineral products,HINDCOPPER,Small
IOL Chemicals & Pharmaceuticals Ltd,524164,Pharmaceuticals - Bulk Drugs & Formln,IOLCP,Small
IRB Infrastructure Developers Ltd,532947,Construction,IRB,Small
Ircon International Ltd,541956,Construction,IRCON,Small
J B Chemicals & Pharmaceuticals Ltd,506943,Pharmaceuticals - Bulk Drugs & Formln,JBCHEPHARM,Small
JK Lakshmi Cement Ltd,500380,Cement & Cement Products,JKLAKSHMI,Small
Just Dial Ltd,535648,E-Commerce/App based Aggregator,JUSTDIAL,Small
K E C International Ltd,532714,Transmisson Line Towers / Equipment,KEC,Small
Kajaria Ceramics Ltd,500233,Ceramics - Tiles / Sanitaryware,KAJARIACER,Small
Kalpataru Projects International Ltd,522287,Transmisson Line Towers / Equipment,KPIL,Small
Karur Vysya Bank Ltd,590003,Banks - Private Sector,KARURVYSYA,Small
Kaveri Seed Company Ltd,532899,Agriculture Seeds,KSCL,Small
KEI Industries Ltd,517569,Cables - Power,KEI,Small
Lux Industries Ltd,539542,Textiles - Composite,LUXIND,Small
Mazagon Dock Shipbuilders Ltd,543237,Ship Building,MAZDOCK,Small
Mishra Dhatu Nigam Ltd,541195,Aerospace & Defence,MIDHANI,Small
Multi Commodity Exchange of India Ltd,534091,Finance & Investments,MCX,Small
National Aluminium Company Ltd,532234,Aluminium and Aluminium Products,NATIONALUM,Small
NBCC (India) Ltd,534309,Construction,NBCC,Small
PNB Housing Finance Ltd,540173,Finance - Housing,PNBHOUSING,Small
PVR Inox Ltd,532689,Entertainment / Electronic Media Software,PVRINOX,Small
Quess Corp Ltd,539978,Diversified,QUESS,Small
Radico Khaitan Ltd,532497,Breweries & Distilleries,RADICO,Small
Rail Vikas Nigam Ltd,542649,Construction,RVNL,Small
Rain Industries Ltd,500339,Advanced materials products,RAIN,Small
Rallis India Ltd,500355,Pesticides / Agrochemicals,RALLIS,Small
Rites Ltd,541556,Infrastructure Developers & Operators,RITES,Small
Rossari Biotech Ltd,543213,Chemicals,ROSSARI,Small
Route Mobile Ltd,543228,Computers - Software,ROUTE,Small
Sequent Scientific Ltd,512529,Pharmaceuticals - Bulk Drugs & Formln,SEQUENT,Small
Shilpa Medicare Ltd,530549,Pharmaceuticals - Bulk Drugs & Formln,SHILPAMED,Small
Sonata Software Ltd,532221,Computers - Software,SONATSOFTW,Small
SpiceJet Ltd,500285,Transport - Airlines,SPICEJET,Small
Sterling & Wilson Renewable Energy Ltd,542760,Infrastructure Developers & Operators,SWSOLAR,Small
Sterlite Technologies Ltd,532374,Cables - Telephone,STLTECH,Small
Strides Pharma Science Ltd,532531,Pharmaceuticals - Bulk Drugs & Formln,STAR,Small
Sun Pharma Advanced Research Company Ltd,532872,Pharmaceuticals - Bulk Drugs & Formln,SPARC,Small
Sunteck Realty Ltd,512179,Construction,SUNTECK,Small
Tanla Platforms Ltd,532790,Computers - Software,TANLA,Small
Thyrocare Technologies Ltd,539871,Healthcare,THYROCARE,Small
TV18 Broadcast Ltd,532800,Entertainment / Electronic Media Software,TV18BRDCST,Small
Ujjivan Small Finance Bank Ltd,542904,Banks - Private Sector,UJJIVANSFB,Small
UTI Asset Management Company Ltd,543238,Finance & Investments,UTIAMC,Small
V I P Industries Ltd,507880,Moulded Luggage,VIPIND,Small
Vakrangee Ltd,511431,Computers - Software,VAKRANGEE,Small
Welspun Living Ltd,514162,Textiles - Products,WELSPUNLIV,Small
Westlife Foodworld Ltd,505533,Hotels,WESTLIFE,Small
Wockhardt Ltd,532300,Pharmaceuticals - Bulk Drugs & Formln,WOCKPHARMA,Small
