Company Name,Industry,Symbol,Market Cap,Bse
Aarti Drugs Ltd,Pharmaceuticals - Bulk Drugs & Formln,AARTIDRUGS,Small,524348
ABB India Ltd,Electric Equipment,ABB,Large,500002
Abbott India Ltd,Pharmaceuticals - Bulk Drugs & Formln,ABBOTINDIA,Mid,500488
Adani Energy Solutions Ltd,Power Generation And Supply,ADANIENSOL,Large,539254
Adani Enterprises Ltd,Trading,ADANIENT,Large,512599
Adani Green Energy Ltd,Power Generation And Supply,ADANIGREEN,Large,541450
Adani Ports and Special Economic Zone Ltd.,Marine Port & Services,ADANIPORTS,Large,532921
Adani Total Gas Ltd,Gas Distribution,ATGL,Large,542066
Adani Wilmar Ltd,Solvent Extraction,AWL,Large,543458
Aditya Birla Capital Ltd,Finance & Investments,ABCAPITAL,Mid,540691
Aditya Birla Fashion & Retail Ltd,Textiles - Retail,ABFRL,Mid,535755
Aegis Logistics Ltd,Trading,AEGISCHEM,Small,500003
Affle India Ltd,Computers - Software,AFFLE,Small,542752
Alkem Laboratories Ltd,Pharmaceuticals - Bulk Drugs & Formln,ALKEM,Mid,539523
Alkyl Amines Chemicals Ltd,Chemicals,ALKYLAMINE,Small,506767
Alok Industries Ltd,Textiles - Processing,ALOKINDS,Small,521070
Amber Enterprises India Ltd,Electronics - Components,AMBER,Small,540902
Ambuja Cements Ltd,Cement & Cement Products,AMBUJACEM,Large,500425
APL Apollo Tubes Ltd,Steel,APLAPOLLO,Small,533758
Apollo Hospitals Enterprise Ltd,Healthcare,APOLLOHOSP,Large,508869
Ashok Leyland Ltd,Automobiles - LCVs / HCVs,ASHOKLEY,Mid,500477
Asian Paints Ltd.,Paints / Varnishes,ASIANPAINT,Large,500820
Astral Ltd,Plastics Products,ASTRAL,Mid,532830
AU Small Finance Bank Ltd,Banks - Private Sector,AUBANK,Mid,540611
Aurobindo Pharma Ltd,Pharmaceuticals - Bulk Drugs & Formln,AUROPHARMA,Mid,524804
Avanti Feeds Ltd,FMCG - Food Processing ,AVANTIFEED,Small,512573
Avenue Supermarts Ltd,FMCG - Retail,DMART,Large,540376
Axis Bank Ltd.,Banks - Private Sector,AXISBANK,Large,532215
Bajaj Auto Ltd.,Automobiles - Scooters And 3 - Wheelers,BAJAJ-AUTO,Large,532977
Bajaj Electricals Ltd,Domestic Appliances,BAJAJELEC,Small,500031
Bajaj Finance Ltd.,Finance & Investments,BAJFINANCE,Large,500034
Bajaj Finserv Ltd.,Finance & Investments,BAJAJFINSV,Large,532978
Bajaj Holdings & Investment Ltd,Finance & Investments,BAJAJHLDNG,Large,500490
Balkrishna Industries Ltd,Tyres,BALKRISIND,Mid,502355
Balrampur Chini Mills Ltd,Sugar,BALRAMCHIN,Small,500038
Bandhan Bank Ltd,Banks - Private Sector,BANDHANBNK,Large,541153
Bank of Baroda,Banks - Public Sector,BANKBARODA,Large,532134
Bank of India,Banks - Public Sector,BANKINDIA,Mid,532149
BASF India Ltd,Chemicals,BASF,Small,500042
Bata India Ltd,Leather / Leather Products,BATAINDIA,Mid,500043
BEML Ltd,Aerospace & Defence,BEML,Small,500048
Berger Paints India Ltd,Paints / Varnishes,BERGEPAINT,Large,509480
Bharat Dynamics Ltd,Aerospace & Defence,BDL,Small,541143
Bharat Electronics Ltd,Aerospace & Defence,BEL,Large,500049
Bharat Forge Ltd,Castings & Forgings,BHARATFORG,Mid,500493
Bharat Heavy Electricals Ltd,Electric Equipment,BHEL,Mid,500103
Bharat Petroleum Corporation Ltd.,Refineries,BPCL,Large,500547
Bharti Airtel Ltd.,Telecommunications - Service Provider,BHARTIARTL,Large,532454
