,Fund House,Fund Name,Expense Ratio(%),Fund Size(in Cr),Risk,Sub Category,Returns(1yr),Returns(3yr),Returns(5yr),Expected Downside Risk(%)
64,Axis Mutual Fund,AXIS FTP – Series 109 – 111Days,0.0,565.0,Medium Risk,Fixed Maturity Plans,11.2,14.5,14.0,4.15
632,SBI Mutual Fund,SBI FMP – Series 1 (3668 Days) – Direct Growth,0.0,40.0,Medium Risk,Fixed Maturity Plans,4.8,6.2,,3.2
85,Bandhan Mutual Fund,Bandhan FTP – Sr.179,0.05,286.0,Medium Risk,Fixed Maturity Plans,4.4,6.2,,3.56
113,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Gilt Fund,0.14,138.0,Medium Risk,Gilt Mutual Funds,3.7,4.9,6.8,11.18
452,Kotak Mahindra Mutual Fund,Kotak Liquid Fund,0.15,33220.0,Medium Risk,Liquid Mutual Funds,5.6,4.3,5.3,0.62
160,DSP Mutual Fund,DSP Liquidity Fund,0.15,13582.0,Medium Risk,Liquid Mutual Funds,5.6,4.3,5.3,0.55
190,Edelweiss Mutual Fund,Edelweiss Liquid Fund,0.15,1543.0,Medium Risk,Liquid Mutual Funds,5.6,4.4,5.4,0.36
490,Mahindra Manulife Mutual Fund,Mahindra Manulife Liquid Fund,0.15,514.0,Medium Risk,Liquid Mutual Funds,5.7,4.5,5.4,0.46
475,LIC Mutual Fund,LIC MF Liquid Fund,0.16,5996.0,Medium Risk,Liquid Mutual Funds,5.6,4.4,5.3,0.49
732,Tata Mutual Fund,Tata Money Market Fund,0.17,8814.0,Medium Risk,Money Market Funds,5.7,5.6,4.8,0.39
710,Sundaram Mutual Fund,Sundaram Ultra Short Duration Fund,0.17,1412.0,Medium Risk,Ultra Short Duration Funds,5.7,4.7,4.5,0.32
500,Mirae Asset Mutual Fund,Mirae Asset Dynamic Bond Fund,0.18,213.0,Medium Risk,Dynamic Bond,2.8,4.5,7.2,19.09
323,ICICI Prudential Mutual Fund,ICICI Pru Liquid Fund,0.2,47245.0,Medium Risk,Liquid Mutual Funds,5.6,4.3,5.3,0.52
798,UTI Mutual Fund,UTI-Money Market Fund,0.2,7897.0,Medium Risk,Money Market Funds,5.6,5.3,6.2,0.64
372,IIFL Mutual Fund,IIFL Liquid Fund,0.2,601.0,Medium Risk,Liquid Mutual Funds,5.5,3.9,4.8,9.47
31,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Liquid Fund,0.21,28071.0,Medium Risk,Liquid Mutual Funds,5.7,4.4,5.4,0.45
249,HDFC Mutual Fund,HDFC Money Market Fund,0.21,15176.0,Medium Risk,Money Market Funds,5.6,5.6,6.3,0.68
36,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Money Manager Fund,0.21,13095.0,Medium Risk,Money Market Funds,5.6,5.6,6.4,0.74
329,ICICI Prudential Mutual Fund,ICICI Pru Money Market Fund,0.21,11475.0,Medium Risk,Money Market Funds,5.5,5.4,6.1,0.71
561,Nippon India Mutual Fund,Nippon India Money Market Fund,0.21,10718.0,Medium Risk,Money Market Funds,5.7,5.3,6.3,0.61
755,Trust Mutual Fund,TRUSTMF Banking & PSU Debt Fund,0.21,345.0,Medium Risk,Banking and PSU Mutual Funds,3.0,,,0.0
466,LIC Mutual Fund,LIC MF Bond Fund,0.21,111.0,Medium Risk,Medium to Long Duration Funds,4.4,4.7,6.2,10.0
55,Axis Mutual Fund,AXIS Corporate Debt Fund,0.22,3783.0,Medium Risk,Corporate Bond Mutual Funds,4.9,7.5,7.3,1.49
660,SBI Mutual Fund,SBI Savings Fund,0.23,19441.0,Medium Risk,Money Market Funds,5.5,5.3,6.2,0.78
264,HSBC Mutual Fund,HSBC Banking and PSU Debt Fund,0.23,3779.0,Medium Risk,Banking and PSU Mutual Funds,2.2,6.0,6.5,5.47
775,UTI Mutual Fund,UTI-Banking & PSU Debt Fund,0.24,524.0,Medium Risk,Banking and PSU Mutual Funds,11.0,7.9,5.6,0.78
169,DSP Mutual Fund,DSP Savings Fund,0.25,3903.0,Medium Risk,Money Market Funds,5.0,5.3,5.9,1.59
147,DSP Mutual Fund,DSP Corporate Bond Fund,0.25,2065.0,Medium Risk,Corporate Bond Mutual Funds,2.6,5.6,,4.41
233,HDFC Mutual Fund,HDFC Floating Rate Debt Fund,0.26,14785.0,Medium Risk,Floater Mutual Funds,5.6,6.5,6.9,1.17
