,Company Name,Industry,Symbol,Ticker Symbol(BSE),Current Close(in ₹),Expected Close(in ₹),Expected Return(%),Estimated Loss(%)
154,KEI Industries Ltd,Cables - Power,KEI,517569,3992.75,12164.17,204.66,13.21
171,Mazagon Dock Shipbuilders Ltd,Ship Building,MAZDOCK,543237,2348.7,5572.13,137.24,13.26
207,Rites Ltd,Infrastructure Developers & Operators,RITES,541556,684.25,1573.01,129.89,19.78
153,Kaveri Seed Company Ltd,Agriculture Seeds,KSCL,532899,869.05,1909.72,119.75,13.02
178,NBCC (India) Ltd,Construction,NBCC,534309,139.65,283.6,103.08,12.5
151,Kalpataru Projects International Ltd,Transmisson Line Towers / Equipment,KPIL,522287,1226.6,2420.72,97.35,13.64
202,Rail Vikas Nigam Ltd,Construction,RVNL,542649,286.25,559.63,95.5,20.03
54,Can Fin Homes Ltd,Finance - Housing,CANFINHOME,511196,762.15,1486.73,95.07,12.66
117,Hindustan Copper Ltd,Mining & Mineral products,HINDCOPPER,513599,385.9,747.13,93.61,12.48
252,Ujjivan Small Finance Bank Ltd,Banks - Private Sector,UJJIVANSFB,542904,53.64,103.82,93.55,18.3
223,Sterling & Wilson Renewable Energy Ltd,Infrastructure Developers & Operators,SWSOLAR,542760,656.45,1243.58,89.44,18.31
201,Radico Khaitan Ltd,Breweries & Distilleries,RADICO,532497,1756.6,3261.14,85.65,18.79
209,Route Mobile Ltd,Computers - Software,ROUTE,543228,1524.4,2780.99,82.43,13.73
67,Computer Age Management Services Ltd,Finance & Investments,CAMS,543232,3204.45,5813.2,81.41,8.97
92,Fine Organic Industries Ltd,Chemicals,FINEORG,541557,4380.0,7847.76,79.17,13.93
107,Happiest Minds Technologies Ltd,Computers - Software,HAPPSTMNDS,543227,814.15,1436.19,76.4,8.0
42,Bharat Dynamics Ltd,Aerospace & Defence,BDL,541143,1978.45,3474.78,75.63,12.86
176,National Aluminium Company Ltd,Aluminium and Aluminium Products,NATIONALUM,532234,185.3,322.67,74.13,12.64
57,Carborundum Universal Ltd,Abrasives And Grinding Wheels,CARBORUNIV,513375,1421.3,2472.98,73.99,17.0
257,UTI Asset Management Company Ltd,Finance & Investments,UTIAMC,543238,951.45,1644.38,72.83,8.48
172,Mishra Dhatu Nigam Ltd,Aerospace & Defence,MIDHANI,541195,438.5,737.53,68.19,16.21
16,Amber Enterprises India Ltd,Electronics - Components,AMBER,540902,3842.75,6234.4,62.24,19.84
49,Birlasoft Ltd,Computers - Software,BSOFT,532400,650.2,1034.78,59.15,14.24
148,Just Dial Ltd,E-Commerce/App based Aggregator,JUSTDIAL,535648,1155.1,1810.16,56.71,16.47
60,Century Textiles & Industries Ltd,Paper,CENTURYTEX,500040,1994.8,3118.92,56.35,63.49
65,Cochin Shipyard Ltd,Aerospace & Defence,COCHINSHIP,540678,1303.15,2024.75,55.37,34.58
56,Caplin Point Laboratories Ltd,Pharmaceuticals - Bulk Drugs & Formln,CAPLIPOINT,524742,1356.15,2102.33,55.02,15.19
71,CSB Bank Ltd,Banks - Private Sector,CSBBANK,542867,371.4,572.17,54.06,12.37
97,GMM Pfaudler Ltd,Engineering,GMMPFAUDLR,505255,1430.6,2195.47,53.46,64.69
15,Alok Industries Ltd,Textiles - Processing,ALOKINDS,521070,27.3,41.36,51.5,8.75
231,Tanla Platforms Ltd,Computers - Software,TANLA,532790,915.7,1386.19,51.38,18.15
224,Sterlite Technologies Ltd,Cables - Telephone,STLTECH,532374,137.4,207.53,51.04,18.94
149,K E C International Ltd,Transmisson Line Towers / Equipment,KEC,532714,749.05,1130.0,50.86,16.49
